Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
2046,153.474,153.474,37.3668,-58.0907,0.81985
1,890.141,890.141,-58.5918,-60.0598,-25.139
2049,51.9958,51.9958,34.4389,-61.4841,-11.8125
1025,21.6245,21.6245,-9.8297,-49.1559,12.881
513,189.045,189.045,-27.1461,16.984,7.92744
2561,161.972,161.972,58.1866,-50.8727,-17.3824
1537,217.804,217.804,16.3791,-12.6906,-17.7036
257,298.605,298.605,-38.9701,3.58874,-0.864456
2305,63.121,63.121,47.028,-63.6029,3.82855
769,187.408,187.408,-14.7143,-61.4794,-33.7857
2817,37.3896,37.3896,63.8383,-50.9964,-27.4293
1793,143.706,143.706,24.7019,-33.7413,2.12119
129,3.68865,3.68865,-54.9045,-63.4925,-6.5439
2177,125.975,125.975,43.0715,-59.5289,14.3808
1153,48.257,48.257,-3.49299,-23.7291,-33.3264
641,36.296,36.296,-25.4194,3.6406,-6.28748
2689,151.365,151.365,61.4095,-10.5453,2.69813
1665,76.308,76.308,19.4342,-52.7624,9.31081
385,13.4928,13.4928,-36.2291,-1.94686,-35.1923
2433,31.0397,31.0397,50.7847,-58.6997,-15.1821
1409,19.8858,19.8858,7.65457,1.09444,-33.7944
897,125.699,125.699,-12.4438,7.49015,17.8808
1921,160.666,160.666,30.5422,-11.4277,-21.5646
65,140.626,140.626,-62.4133,-28.5237,-28.8227
2113,9.08022,9.08022,35.792,-59.5172,-34.4883
1089,120.542,120.542,-4.8266,-60.6136,17.6054
577,120.619,120.619,-26.541,-24.603,-21.848
2625,202.537,202.537,60.6409,12.1552,-26.8991
1601,161.469,161.469,17.6892,-31.958,15.3102
321,151.303,151.303,-38.302,22.4487,-3.38344
2369,11.8066,11.8066,47.0536,9.79654,-32.6808
1345,123.187,123.187,6.87866,-5.74981,27.4017
833,148.915,148.915,-15.9316,9.44645,-0.301562
1857,118.601,118.601,27.3624,-51.8808,-12.8719
193,133.372,133.372,-46.204,26.0724,3.37271
2241,11.9461,11.9461,41.9324,-46.7701,-9.72773
1217,187.031,187.031,2.14518,-23.4668,-12.1014
705,139.97,139.97,-19.8048,-62.7661,-30.5393
2753,65.649,65.649,62.5668,-7.51607,-8.94104
1729,30.5026,30.5026,20.3984,-4.70744,-20.2138
449,155.241,155.241,-31.2515,15.0833,-13.7231
2497,21.9066,21.9066,52.7578,-46.2214,12.2123
1473,142.002,142.002,12.1709,-35.7461,-19.18
961,125.603,125.603,-10.268,-58.0415,19.5014
1985,60.5541,60.5541,32.6499,-60.5181,-14.2083
33,43.9159,43.9159,-63.4561,-54.1467,29.5244
2081,67.5411,67.5411,36.8191,-53.4443,-19.4785
1057,6.8444,6.8444,-9.14925,-1.55478,27.2398
545,164.495,164.495,-27.893,4.54034,-3.23862
2593,132.706,132.706,58.3836,7.20728,-15.9637
1569,98.6567,98.6567,15.7511,-40.7688,18.6123
289,122.312,122.312,-40.0897,28.4582,-9.13208
2337,28.8944,28.8944,46.8041,-63.3525,-29.9998
1313,117.294,117.294,5.39661,-7.9083,9.45498
801,312.784,312.784,-15.249,10.5115,-18.9587
2849,17.4867,17.4867,64.2793,-13.5701,17.1312
1825,131.063,131.063,26.945,-17.9231,-34.5523
161,493.929,493.929,-47.2077,12.3125,-17.9801
2209,170.626,170.626,43.6553,-7.67689,-16.2567
1185,96.4435,96.4435,-1.31036,-1.23708,9.65544
673,99.0205,99.0205,-22.6719,20.2598,-5.98717
2721,147.646,147.646,62.9052,-6.12729,-32.5045
1697,20.6362,20.6362,19.7372,2.25429,-34.4246
417,278.839,278.839,-31.3357,28.027,-14.1295
2465,6.16662,6.16662,51.2181,4.74318,-35.0881
1441,403.786,403.786,14.9971,1.33143,-31.7913
929,151.65,151.65,-12.086,-59.8811,1.43764
1953,303.176,303.176,33.661,-39.3747,-21.2485
97,224.833,224.833,-56.1187,-52.1571,-18.2269
2145,59.3216,59.3216,38.0192,-13.9505,-13.7725
1121,53.6396,53.6396,-3.07997,-63.3053,11.1857
609,145.352,145.352,-24.165,-48.4501,-1.89709
2657,123.04,123.04,60.0708,-54.6632,17.017
1633,76.832,76.832,18.5181,-62.8559,12.4492
353,272.233,272.233,-35.272,-42.1334,-19.7049
2401,312.764,312.764,55.0617,-61.033,-32.1383
1377,116.007,116.007,8.44181,-18.124,4.07588
865,39.6343,39.6343,-15.9175,-28.8801,-22.9759
1889,192.114,192.114,29.191,-44.5595,7.06525
225,188.158,188.158,-43.9038,-38.4482,-23.1086
2273,17.3209,17.3209,43.2972,-62.5502,-4.28756
1249,85.2688,85.2688,1.27377,-58.15,-12.7743
737,251.471,251.471,-19.4709,-48.4125,-20.7571
2785,83.6951,83.6951,63.4682,-4.75088,-13.0961
1761,41.4785,41.4785,21.6065,-36.1855,11.4923
481,73.6452,73.6452,-29.9743,-32.8587,-34.6222
2529,197.071,197.071,57.2186,-27.1589,-16.3236
1505,282.726,282.726,13.9737,-41.9397,-22.8246
993,176.52,176.52,-9.15554,5.87035,1.01699
17,36.1261,36.1261,-61.8072,-62.8295,34.7939
2065,6.03505,6.03505,33.8198,-49.7094,9.95956
1041,104.368,104.368,-7.33578,4.13895,5.46378
529,40.003,40.003,-29.5585,26.878,12.261
2577,156.655,156.655,58.47,-23.583,-2.3914
1553,191.514,191.514,15.4004,-40.0758,-1.44115
273,137.611,137.611,-39.1898,47.74,1.99847
2321,73.0806,73.0806,46.7209,-62.7185,-6.07724
1297,83.3367,83.3367,4.31599,-20.0662,24.4069
785,268.795,268.795,-15.8976,-44.7101,-13.5118
1809,53.7207,53.7207,23.6864,-53.6527,1.25172
145,125.771,125.771,-51.8921,-35.0149,-18.462
2193,122.143,122.143,42.5471,-62.4909,9.54365
1169,161.852,161.852,-0.572258,-20.0261,18.2781
657,178.931,178.931,-21.2024,-19.9816,-32.5119
2705,156.197,156.197,62.5508,0.987096,-16.914
1681,134.214,134.214,20.5707,-21.8622,22.0735
