Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
2683,147.795,147.795,-24.7137,7.86,-0.0346384
3451,227.654,227.654,-4.00722,-8.19941,-8.19622
1915,106.728,106.728,-44.1434,-12.4361,-14.5856
3963,233.342,233.342,13.0395,28.7318,-6.83654
3323,190.903,190.903,-6.97001,4.95258,22.9656
2055,148.935,148.935,-41.7791,-12.2776,7.8814
2567,114.199,114.199,-29.021,-7.36023,-2.07408
2695,114.32,114.32,-25.3377,3.14468,7.55105
1927,131.215,131.215,-44.8309,-13.3367,1.1936
2119,131.932,131.932,-41.2319,-16.0234,-3.98935
3911,99.0529,99.0529,8.96707,23.2838,14.5743
2247,106.724,106.724,-36.8494,-3.89275,7.48694
1735,199.017,199.017,-49.0431,-20.4698,-15.38
3527,139.051,139.051,-3.44897,18.9075,16.4078
1991,134.811,134.811,-43.5362,-22.7642,0.146299
3623,163.134,163.134,1.26029,22.5536,-9.67079
3879,260.831,260.831,10.8852,14.3281,-10.0418
2471,110.613,110.613,-31.0252,-15.6382,-14.0097
1959,96.8604,96.8604,-44.1445,-7.23883,12.1977
3175,152.674,152.674,-11.5204,4.64943,-8.80607
3687,132.679,132.679,1.53889,29.309,12.1602
2919,226.368,226.368,-18.8931,15.926,-2.54118
1895,92.3138,92.3138,-46.2379,-6.47991,6.19274
3943,77.5896,77.5896,10.4827,8.27188,4.35467
3303,262.727,262.727,-7.67911,9.68321,15.4272
3559,166.966,166.966,-1.15061,33.3444,3.74478
4071,131.318,131.318,16.08,28.1718,-1.17007
3607,80.5911,80.5911,-1.28569,25.5034,-3.85862
2327,100.346,100.346,-35.1654,-2.19265,4.09031
2647,158.369,158.369,-25.67,-4.42087,1.02714
3927,204.077,204.077,10.4563,15.1024,1.27621
3287,192.175,192.175,-8.64695,1.6239,12.5922
3127,164.141,164.141,-12.9472,9.62524,5.29643
1847,94.4919,94.4919,-47.363,-13.1587,6.31607
3895,120.247,120.247,8.21961,18.6234,4.36171
2231,110.177,110.177,-37.2412,-29.0655,-6.52762
1719,129.511,129.511,-50.6131,-29.2742,-11.0204
3191,158.98,158.98,-11.8855,12.8288,7.65286
2295,152.343,152.343,-36.1107,-16.1904,1.81223
3831,74.8536,74.8536,5.91767,20.8521,2.75526
4087,296.902,296.902,17.5285,5.67767,-6.55132
2063,135.82,135.82,-41.5183,-4.87734,-2.98605
2575,116.037,116.037,-29.3596,-18.3043,-8.59409
3343,159.651,159.651,-7.78028,18.4668,16.1708
2191,95.0632,95.0632,-38.6095,4.59512,7.13121
3215,176.41,176.41,-11.0874,18.5071,17.6506
3983,50.6927,50.6927,10.8194,19.0194,3.32006
4175,409.683,409.683,21.9669,6.93683,7.5468
3919,133.363,133.363,8.79657,-1.02171,4.08035
3279,100.356,100.356,-9.99189,2.71938,-0.439694
2511,143.868,143.868,-30.3716,0.0387476,0.898818
3535,168.204,168.204,-2.99084,23.7218,9.71338
3375,116.143,116.143,-7.23741,11.295,6.49497
